crops,урожай
press release,официальное заявление для печати
rattle,"грохотать, грохот"
rave,"бредить, бушевать"
abandon,непринужденность
abandoned,"заброшенный, покинутый, распутный"
conscience,совесть
starve,"умирать от истощения, голодать"
,
starvation,"голод, голодовка"
honour,"честь, уважать"
restrict,ограничивать
edge,"лезвие, край, окраина"
ravage,"опустошение, опустошать"
rebel,"повстанец, бунтовщик"
defeat,"поражение, побеждать"
defamation,клевета
despite of,"вопреки, несмотря на"
vacuity,пустота
,
among,"между, среди, из"
greif,горе
harry,"совершать набеги, опустошать, грабить"
avail,"помогать, быть полезным"
despond,"падать духом, терять надежду"
retort,"возражение, возражать"
railing,"нагоняй; перила, ограда"
hamper,"мешать, затруднять, тормозить"
desolate,"заброшенный, безлюдный"
reproof,"порицание, выговор"
,
pillow,подушка
blanket,одеяло
sheet,простыня
ceiling,потолок
whisper,"шептать, шепот"
cupboard,шкаф
,
separation,разделение
require,требовать
carrier,"носитель, несущая частота"
interference,"помеха, помехи, интерференция"
overlap,перекрывать
service area,область уверенного радиоприёма
adjust,"регулировать, настраивать"
tune,настраивать
accept,"принимать, допускать"
within,"внутри, впределах"
,
exclude,исключать
bandwith,полоса частот
service,"служба, вид связи, работа"
accommodate,"размещать, вмещать"
essential,"существенный, неотъемлемый; основной"
available,"достижимый, годный"
therefore,"поэтому, следовательно"
latter,последний (из двух)
eraser,"резинка, ластик"
rag,"тряпка, лохмотья"
,
quotation,"цитирование, цитата"
view,"взгляд, мнение"
advertisement,"объявление, реклама"
pie,пирог
glimpse,"проблеск, видеть мельком"
poll,голосование
consumption,потребление
hump,горб
nought,ничто
apply,"обращаться; прикладывать, применять"
,
submerge,погружать(ся) в воду
opportunity,возможность
wasp,оса
churchyard,кладбище
dogged,упорный
jacht,яхта
,
hemisphere,полушарие
cabin,хижина
suppurate,гноиться
alas,увы
reproach,"упрек, упрекать"
demand,"требование, требовать"
substitution,"замена, замещение"
break through,прорываться
deal,"раздавать, распределять"
chairman,председатель
,
spokesman,"делегат, представитель, оратор"
responsible,ответственный
confidence,"уверенность; доверие, секрет"
suffer,"страдать, нести (потери), терпеть"
conflagration,большой пожар
slavery,"рабство, тяжелая работа"
servile,"рабский, раболепный"
slave,раб
insenistive,"равнодушный, нечувствительный"
remind,напоминать
,
marple,клён
negligence,небрежность
hesitate,колебаться
ugly,"некрасивый, отталкивающий"
fishy,"подозрительный, сомнительный"
succed,"следовать, достигать цели"
yawn,"зевать, зевота"
dazed,ошеломленный
windmill,ветряная мельница
uppease,"умиротворять, успокаивать"
,
vehicle,"экипаж, повозка"
meter,счётчик
assert,утверждать
glue,"клей, клеить"
rank,"шеренга, чин, разряд"
caterpillar,гусеница
,
unsettled,"неустроенный, нерешенный"
reveal,"обнаруживать, разоблачать"
stick,палка; разг. тупица
defend,"защищать, оборонять"
pile,"куча, груда; нагромождать"
intense,"напряженный, сильный"
cease fire!,прекратить огонь!
respect,"уважение, уважать"
impose,"облагать (налогом), навязывать (решение)"
immediate,"непосредственный, немедленный"
,
remark,"замечание, делать замечание"
summit,вершина
appeal,"просьба, мольба; просить, молить"
upset,"опрокидывать; огорчать, расстраивать"
desist,"воздерживаться, прекращать"
remove,"удалять, устранять; переезжать"
devote,посвящать
reside,проживать
regretable,прискорбный
execute,"исполнять, выполнять; казнить"
,
enrich,обогащать
badge,"знак, значок"
keen,"острый, пронизавающий"
abuse,"злоупотреблять, ругать"
fist,кулак
label,"ярлык, этикетка"
vinegar,уксус
riddle,загадка
miner,"горняк, шахтер"
commend,хвалить
,
yeast,дрожжи
yell,пронзитедьный крик; кричать
bait,приманка
pleat,складка
veil,"вуаль, завуалировать"
underline,подчеркивать
,
ink,чернила
ember,горячая зола; тлеющие угли
turpentine,скипидар
whif,дуновение; дымок
rig,"оснастка, снаряжение"
thistle,чертополох
drill,"сверло, сверлить"
injury,"повреждение, вред; оскорбление"
illness,болезнь
bunk,койка; разг. Удирать
,
relief,облегчение; пособие (по безработице)
conceal,скрывать
announcement,"обьявление, сообщение"
conquest,"завоевание, покорение"
incredible,невероятный
freezing,"замораживающий, ледяной"
earthquake,землетрясение
abandon,покидать
disband,распускать (войска)
barefooted,босой
,
realize,осуществлять; понимать
keeper,сторож
yield,"уступать, сдаваться; производить; урожай, продукция"
kennel,(собачья) конура
repose,"отдыхать, лежать; отдых, покой"
bear,медведь
degrade,"понижать, разжаловать"
rabbit,кролик
handful,пригорошня
ransom,"выкуп, выкупать"
,
reluctant,нерасположенный
wonder,"удивление, удивляться"
feature,особенность; черты лица
hide,"прятать, скрывать"
temper,"характер, настроение"
zeal,"усердие, рвение"
,
maize,кукуруза
mainland,материк
depart,"отбывать, уезжать"
canteen,буфет
kid,козленок; разг. малышь
miss,"промахнуться, промах"
mail,почта
chop,рубить
spare,"беречь, экономить; запасной, лишний"
below,"внизу; ниже, под"
,
spring,"прыгать, вскакивать; прыжок"
promote,повышать; содействовать
royal,королевский
concise,"сжатый, краткий"
lively,"оживленный, веселый"
abreast,в ряд
clash,"столкновение, лязг; сталкиваться"
inexorable,"безжалостный, непреклонный"
habit,"привычка, обычай"
disaster,бедствие
,
lace,"кружево, шнурок"
landscape,пейзаж
mistress,любовница
hostile,враждебный
desert,"покидать, бросать, дезертировать"
yoke,"иго, ярмо"
ride,"ехать, езда, прогулка (в машине)"
vein,"вена, жила"
overburden,перегружать
orphan,"сирота, сиротский"
,
spectacles,очки
towel,полотенце
mirror,зеркало
brush,"щетка, кисть"
sock,носок
shirt,мужская рубашка
